customer_id,age,city,account_type,balance,monthly_income,credit_score,transaction_amount,merchant_category,risk_bucket,transaction_date,default_flag
1028,45,Bangalore,Current,495478.0,73547.0,416.0,23776.0,Travel,Medium,2024-01-02 04:00:00,0
1029,47,Delhi,Current,414844.0,44499.0,483.0,14891.0,Travel,Medium,2024-01-02 05:00:00,0
1030,62,Mumbai,Savings,271322.0,59781.0,415.0,34010.0,Travel,Low,2024-01-02 06:00:00,0
1031,48,Hyderabad,Current,536139.0,46850.0,461.0,32853.0,Utilities,Low,2024-01-02 07:00:00,0
1032,36,Delhi,Current,539883.0,21357.0,842.0,36665.0,Travel,Low,2024-01-02 08:00:00,0
1033,35,Mumbai,Savings,765368.0,46490.0,536.0,24840.0,Utilities,Medium,2024-01-02 09:00:00,1
1034,64,Hyderabad,Current,445736.0,73463.0,365.0,17802.0,Shopping,Low,2024-01-02 10:00:00,0
1035,23,Delhi,Savings,542018.0,12595.0,369.0,6295.0,Utilities,High,2024-01-02 11:00:00,0
1036,57,Delhi,Current,400177.0,65043.0,746.0,34832.0,Travel,Low,2024-01-02 12:00:00,1
1037,27,Mumbai,Savings,630975.0,36279.0,715.0,30087.0,Shopping,High,2024-01-02 13:00:00,0
1038,41,Pune,Savings,481307.0,72169.0,831.0,13411.0,Utilities,Low,2024-01-02 14:00:00,0
1039,29,Delhi,Current,324111.0,,740.0,18537.0,Shopping,Low,2024-01-02 15:00:00,0
1040,59,Delhi,Current,,56561.0,763.0,19399.0,Shopping,Medium,2024-01-02 16:00:00,0
1041,38,Hyderabad,Current,558578.0,56607.0,695.0,7204.0,Shopping,High,2024-01-02 17:00:00,0
1042,24,Bangalore,Savings,538291.0,,694.0,15188.0,Utilities,High,2024-01-02 18:00:00,0
1043,45,Mumbai,Savings,656885.0,33088.0,625.0,11394.0,Travel,High,2024-01-02 19:00:00,0
1044,34,Mumbai,Savings,282792.0,93962.0,390.0,20050.0,Utilities,Medium,2024-01-02 20:00:00,0
1045,29,Pune,Current,373589.0,42699.0,,16136.0,Travel,High,2024-01-02 21:00:00,1
1046,46,Pune,Savings,595968.0,91356.0,465.0,5476.0,Utilities,Medium,2024-01-02 22:00:00,0
1047,22,Mumbai,Savings,391210.0,42810.0,513.0,49271.0,Utilities,Low,2024-01-02 23:00:00,0
1048,40,Pune,Current,536071.0,70504.0,634.0,40030.0,Utilities,Low,2024-01-03 00:00:00,0
1049,48,Hyderabad,Savings,137038.0,37244.0,668.0,15652.0,Travel,High,2024-01-03 01:00:00,0
1050,27,Mumbai,Savings,907392.0,70468.0,348.0,28269.0,Utilities,Low,2024-01-03 02:00:00,0
1051,64,Pune,Current,459542.0,53488.0,351.0,30010.0,Shopping,Low,2024-01-03 03:00:00,1
1052,28,Mumbai,Savings,679093.0,53750.0,588.0,39293.0,Utilities,High,2024-01-03 04:00:00,0
1053,55,Bangalore,Current,449465.0,72200.0,538.0,15177.0,Shopping,Low,2024-01-03 05:00:00,0
1054,34,Delhi,Current,562205.0,50617.0,432.0,38105.0,Travel,High,2024-01-03 06:00:00,0
1055,37,Mumbai,Current,723788.0,31437.0,465.0,18425.0,Travel,High,2024-01-03 07:00:00,0
1056,56,Delhi,Current,674871.0,75226.0,673.0,8970.0,Utilities,Low,2024-01-03 08:00:00,0
1057,60,Pune,Current,469332.0,37082.0,672.0,33690.0,Utilities,Low,2024-01-03 09:00:00,0
1058,24,Delhi,Savings,479712.0,70330.0,777.0,40489.0,Utilities,Low,2024-01-03 10:00:00,0
1059,22,Mumbai,Savings,650535.0,79460.0,778.0,56055.0,Shopping,Low,2024-01-03 11:00:00,0
1060,26,Bangalore,Current,,,599.0,10603.0,Travel,Low,2024-01-03 12:00:00,0
1061,62,Pune,Current,528842.0,83647.0,381.0,33387.0,Shopping,Medium,2024-01-03 13:00:00,0
1062,24,Mumbai,Savings,793560.0,69636.0,386.0,20082.0,Shopping,Low,2024-01-03 14:00:00,0
1063,49,Pune,Current,463788.0,46083.0,524.0,34400.0,Utilities,Medium,2024-01-03 15:00:00,0
1064,38,Hyderabad,Current,642794.0,88029.0,315.0,7354.0,Utilities,High,2024-01-03 16:00:00,0
1065,46,Delhi,Current,665173.0,37167.0,657.0,9847.0,Shopping,Low,2024-01-03 17:00:00,0
1066,64,Hyderabad,Savings,438506.0,52466.0,462.0,15690.0,Shopping,Low,2024-01-03 18:00:00,0
1067,54,Mumbai,Savings,387938.0,55874.0,813.0,25948.0,Utilities,Low,2024-01-03 19:00:00,0
1068,30,Bangalore,Current,671808.0,72104.0,649.0,17307.0,Utilities,High,2024-01-03 20:00:00,1
1069,56,Pune,Current,420266.0,82309.0,763.0,32909.0,Shopping,Medium,2024-01-03 21:00:00,0
1070,34,Delhi,Savings,365848.0,81056.0,674.0,37323.0,Utilities,Medium,2024-01-03 22:00:00,1
1071,51,Pune,Savings,397406.0,64475.0,391.0,32195.0,Utilities,Low,2024-01-03 23:00:00,0
1072,35,Mumbai,Current,419658.0,54395.0,480.0,44425.0,Shopping,Low,2024-01-04 00:00:00,0
1073,28,Pune,Current,628493.0,23480.0,600.0,29990.0,Shopping,Low,2024-01-04 01:00:00,1
1074,34,Delhi,Savings,577256.0,33717.0,488.0,10397.0,Travel,Low,2024-01-04 02:00:00,0
1075,43,Mumbai,Savings,607349.0,95333.0,,41361.0,Shopping,High,2024-01-04 03:00:00,0
1076,60,Pune,Savings,563207.0,23279.0,792.0,17738.0,Utilities,Low,2024-01-04 04:00:00,0
1077,41,Bangalore,Current,410924.0,44310.0,427.0,35925.0,Shopping,High,2024-01-04 05:00:00,0
1078,36,Mumbai,Savings,604565.0,82892.0,818.0,43885.0,Shopping,Low,2024-01-04 06:00:00,1
1079,38,Mumbai,Current,677368.0,64194.0,725.0,30480.0,Shopping,Medium,2024-01-04 07:00:00,0
1080,44,Bangalore,Savings,587675.0,78561.0,486.0,7046.0,Travel,Medium,2024-01-04 08:00:00,0
1081,46,Hyderabad,Savings,567448.0,70857.0,849.0,13981.0,Travel,Low,2024-01-04 09:00:00,0
1082,45,Delhi,Savings,384942.0,89392.0,752.0,40873.0,Utilities,Low,2024-01-04 10:00:00,0
1083,61,Hyderabad,Savings,531773.0,65909.0,770.0,22971.0,Travel,High,2024-01-04 11:00:00,0
1084,49,Pune,Current,376964.0,73269.0,523.0,25955.0,Shopping,Low,2024-01-04 12:00:00,0
1085,35,Bangalore,Current,496396.0,45515.0,453.0,34106.0,Travel,Low,2024-01-04 13:00:00,0
1086,21,Hyderabad,Savings,253960.0,71727.0,650.0,33356.0,Shopping,Low,2024-01-04 14:00:00,0
1087,45,Mumbai,Current,,52077.0,446.0,28346.0,Travel,Medium,2024-01-04 15:00:00,0
1088,27,Pune,Savings,471343.0,50938.0,648.0,22496.0,Travel,High,2024-01-04 16:00:00,1
1089,29,Pune,Savings,417734.0,77894.0,481.0,21248.0,Travel,Medium,2024-01-04 17:00:00,0
1090,44,Hyderabad,Savings,516018.0,78032.0,478.0,35295.0,Shopping,High,2024-01-04 18:00:00,0
1091,21,Hyderabad,Savings,479785.0,93769.0,338.0,31643.0,Travel,Medium,2024-01-04 19:00:00,0
1092,64,Bangalore,Current,504529.0,,302.0,21912.0,Shopping,Low,2024-01-04 20:00:00,0
1093,28,Delhi,Savings,591291.0,78346.0,363.0,37985.0,Shopping,Medium,2024-01-04 21:00:00,0
1094,44,Hyderabad,Savings,430510.0,25591.0,328.0,23452.0,Utilities,Medium,2024-01-04 22:00:00,0
1095,31,Hyderabad,Current,467083.0,96554.0,671.0,14780.0,Travel,High,2024-01-04 23:00:00,0
1096,37,Mumbai,Savings,718253.0,78359.0,822.0,15892.0,Utilities,High,2024-01-05 00:00:00,0
1097,28,Pune,Savings,500463.0,44683.0,,13255.0,Utilities,Medium,2024-01-05 01:00:00,0
1098,55,Delhi,Savings,,74578.0,741.0,21731.0,Shopping,High,2024-01-05 02:00:00,0
1099,55,Mumbai,Current,512377.0,39255.0,502.0,39805.0,Travel,High,2024-01-05 03:00:00,1
1100,53,Bangalore,Savings,,,,15339.0,Shopping,High,2024-01-05 04:00:00,0
1101,25,Bangalore,Current,393564.0,33675.0,320.0,27262.0,Shopping,High,2024-01-05 05:00:00,0
1102,62,Hyderabad,Savings,350296.0,43836.0,401.0,17120.0,Travel,High,2024-01-05 06:00:00,0
1103,59,Hyderabad,Savings,385485.0,74199.0,,21876.0,Shopping,Medium,2024-01-05 07:00:00,0
1104,61,Bangalore,Current,630938.0,81458.0,365.0,6880.0,Travel,High,2024-01-05 08:00:00,0
1105,48,Hyderabad,Savings,405514.0,66509.0,463.0,22354.0,Travel,Low,2024-01-05 09:00:00,1
1106,27,Delhi,Savings,476761.0,54277.0,410.0,22676.0,Shopping,Medium,2024-01-05 10:00:00,0
1107,29,Hyderabad,Current,605110.0,17703.0,637.0,31483.0,Shopping,Medium,2024-01-05 11:00:00,0
1108,28,Pune,Current,458241.0,55820.0,422.0,27679.0,Utilities,Medium,2024-01-05 12:00:00,0
1109,32,Hyderabad,Current,595004.0,70670.0,746.0,10619.0,Shopping,High,2024-01-05 13:00:00,0
1110,54,Mumbai,Current,268881.0,53665.0,590.0,38010.0,Travel,Low,2024-01-05 14:00:00,0
1111,53,Delhi,Current,480122.0,59548.0,711.0,27524.0,Utilities,High,2024-01-05 15:00:00,0
1112,43,Mumbai,Savings,511834.0,56288.0,580.0,27381.0,Travel,Medium,2024-01-05 16:00:00,0
1113,44,Mumbai,Current,503471.0,53566.0,342.0,24890.0,Utilities,Medium,2024-01-05 17:00:00,0
1114,57,Pune,Savings,252062.0,61518.0,785.0,18787.0,Shopping,Medium,2024-01-05 18:00:00,0
1115,55,Delhi,Savings,680467.0,54546.0,350.0,27614.0,Shopping,Medium,2024-01-05 19:00:00,0
1116,64,Delhi,Savings,371799.0,88866.0,509.0,30707.0,Shopping,High,2024-01-05 20:00:00,0
1117,60,Delhi,Current,550256.0,15872.0,425.0,4037.0,Travel,Low,2024-01-05 21:00:00,0
1118,42,Delhi,Current,,49083.0,791.0,18535.0,Utilities,Low,2024-01-05 22:00:00,0
1119,47,Delhi,Savings,650556.0,42595.0,808.0,21941.0,Travel,Medium,2024-01-05 23:00:00,0
1120,55,Pune,Current,828123.0,64382.0,557.0,28074.0,Utilities,Low,2024-01-06 00:00:00,1
1121,21,Hyderabad,Current,306445.0,61543.0,487.0,39320.0,Shopping,Medium,2024-01-06 01:00:00,0
1122,55,Mumbai,Current,,92444.0,529.0,15739.0,Travel,Medium,2024-01-06 02:00:00,0
1123,57,Delhi,Current,528364.0,99023.0,488.0,19024.0,Shopping,Low,2024-01-06 03:00:00,1
1124,34,Hyderabad,Savings,334197.0,44538.0,714.0,18850.0,Travel,Medium,2024-01-06 04:00:00,0
1125,23,Hyderabad,Savings,,60010.0,309.0,15382.0,Shopping,Low,2024-01-06 05:00:00,0
1126,21,Mumbai,Current,626506.0,,413.0,20834.0,Travel,Medium,2024-01-06 06:00:00,0
1127,25,Pune,Savings,583917.0,44044.0,375.0,34250.0,Travel,Low,2024-01-06 07:00:00,0
1128,46,Bangalore,Current,535487.0,72568.0,801.0,12354.0,Utilities,Medium,2024-01-06 08:00:00,0
1129,34,Bangalore,Current,705456.0,55210.0,384.0,30134.0,Shopping,Low,2024-01-06 09:00:00,0
1130,59,Hyderabad,Savings,326656.0,38647.0,348.0,4577.0,Utilities,Medium,2024-01-06 10:00:00,0
1131,47,Mumbai,Savings,509790.0,,794.0,18264.0,Utilities,Medium,2024-01-06 11:00:00,0
1132,29,Bangalore,Savings,389180.0,40047.0,686.0,21046.0,Shopping,Medium,2024-01-06 12:00:00,0
1133,35,Hyderabad,Current,,80733.0,688.0,45098.0,Travel,Low,2024-01-06 13:00:00,0
1134,35,Pune,Savings,224999.0,98031.0,517.0,21702.0,Utilities,High,2024-01-06 14:00:00,0
1135,46,Bangalore,Current,495787.0,64896.0,645.0,-1415.0,Shopping,Medium,2024-01-06 15:00:00,0
1136,62,Hyderabad,Savings,550286.0,62226.0,529.0,1013.0,Travel,Medium,2024-01-06 16:00:00,0
1137,33,Hyderabad,Savings,357876.0,63049.0,554.0,25408.0,Utilities,Low,2024-01-06 17:00:00,0
1138,52,Delhi,Current,,83645.0,535.0,32365.0,Utilities,Medium,2024-01-06 18:00:00,0
1139,59,Pune,Current,502307.0,83214.0,325.0,29505.0,Utilities,Medium,2024-01-06 19:00:00,0
1140,52,Delhi,Current,643264.0,57687.0,560.0,27011.0,Travel,Medium,2024-01-06 20:00:00,0
1141,24,Mumbai,Current,345070.0,65052.0,570.0,38947.0,Utilities,Medium,2024-01-06 21:00:00,1
1142,50,Delhi,Current,371233.0,73053.0,422.0,18525.0,Travel,High,2024-01-06 22:00:00,0
1143,57,Delhi,Current,668838.0,37246.0,556.0,35739.0,Utilities,High,2024-01-06 23:00:00,0
1144,43,Bangalore,Current,459054.0,84252.0,720.0,5416.0,Shopping,Medium,2024-01-07 00:00:00,0
1145,59,Hyderabad,Current,,94697.0,558.0,14141.0,Utilities,Medium,2024-01-07 01:00:00,0
1146,35,Pune,Savings,609303.0,83301.0,346.0,3316.0,Shopping,Medium,2024-01-07 02:00:00,0
1147,63,Delhi,Current,426770.0,35088.0,824.0,21702.0,Shopping,High,2024-01-07 03:00:00,0
1148,49,Pune,Current,654113.0,20600.0,507.0,24445.0,Shopping,High,2024-01-07 04:00:00,1
1149,56,Delhi,Savings,400442.0,74174.0,610.0,26369.0,Travel,Low,2024-01-07 05:00:00,0
1150,33,Mumbai,Current,476061.0,,,25743.0,Shopping,Low,2024-01-07 06:00:00,0
1151,52,Delhi,Savings,641746.0,65743.0,737.0,13869.0,Utilities,Medium,2024-01-07 07:00:00,0
1152,27,Bangalore,Savings,466061.0,90703.0,454.0,22717.0,Travel,Medium,2024-01-07 08:00:00,1
1153,42,Hyderabad,Current,613408.0,46861.0,389.0,7031.0,Shopping,High,2024-01-07 09:00:00,0
1154,48,Mumbai,Savings,490168.0,52449.0,657.0,41359.0,Travel,Medium,2024-01-07 10:00:00,0
1155,22,Delhi,Current,797254.0,65534.0,473.0,21356.0,Travel,Medium,2024-01-07 11:00:00,0
1156,62,Pune,Savings,735317.0,34050.0,516.0,19133.0,Travel,High,2024-01-07 12:00:00,0
1157,26,Mumbai,Savings,300786.0,44843.0,755.0,44067.0,Utilities,High,2024-01-07 13:00:00,0
1158,48,Mumbai,Savings,578337.0,60497.0,498.0,10093.0,Shopping,High,2024-01-07 14:00:00,0
1159,48,Delhi,Current,377539.0,53991.0,785.0,11493.0,Travel,High,2024-01-07 15:00:00,0
1160,64,Mumbai,Current,528726.0,72168.0,832.0,11845.0,Travel,Low,2024-01-07 16:00:00,0
1161,64,Pune,Savings,510256.0,115320.0,499.0,24186.0,Travel,High,2024-01-07 17:00:00,0
1162,40,Mumbai,Savings,341692.0,61983.0,670.0,30180.0,Shopping,High,2024-01-07 18:00:00,0
1163,50,Pune,Current,658773.0,43166.0,747.0,33876.0,Travel,Medium,2024-01-07 19:00:00,0
1164,31,Delhi,Current,530495.0,88365.0,547.0,55864.0,Travel,Medium,2024-01-07 20:00:00,1
1165,48,Hyderabad,Savings,457298.0,28224.0,563.0,-1993.0,Utilities,Medium,2024-01-07 21:00:00,0
1166,45,Mumbai,Savings,434284.0,32222.0,357.0,32305.0,Shopping,Low,2024-01-07 22:00:00,1
1167,59,Hyderabad,Current,520967.0,48098.0,601.0,18314.0,Utilities,High,2024-01-07 23:00:00,0
1168,53,Pune,Current,561189.0,54342.0,330.0,17963.0,Shopping,High,2024-01-08 00:00:00,0
1169,21,Mumbai,Current,,47619.0,797.0,17563.0,Shopping,Low,2024-01-08 01:00:00,0
1170,47,Bangalore,Current,75122.0,59370.0,548.0,14095.0,Shopping,High,2024-01-08 02:00:00,0
1171,33,Hyderabad,Current,502534.0,65495.0,570.0,45214.0,Utilities,Medium,2024-01-08 03:00:00,0
1172,61,Mumbai,Savings,283778.0,81379.0,693.0,35108.0,Utilities,Low,2024-01-08 04:00:00,0
1173,23,Hyderabad,Current,468582.0,61824.0,,25278.0,Utilities,High,2024-01-08 05:00:00,0
1174,59,Mumbai,Savings,289315.0,48761.0,383.0,41212.0,Utilities,Low,2024-01-08 06:00:00,0
1175,26,Delhi,Current,287525.0,80293.0,664.0,6850.0,Travel,Low,2024-01-08 07:00:00,0
1176,28,Hyderabad,Savings,685268.0,43646.0,848.0,9032.0,Travel,High,2024-01-08 08:00:00,0
1177,47,Bangalore,Current,451986.0,27348.0,641.0,-1136.0,Travel,Medium,2024-01-08 09:00:00,1
1178,29,Bangalore,Current,440501.0,84119.0,706.0,16607.0,Shopping,High,2024-01-08 10:00:00,0
1179,57,Pune,Savings,572379.0,82837.0,724.0,26940.0,Travel,High,2024-01-08 11:00:00,0
1180,53,Mumbai,Savings,444411.0,44154.0,392.0,26234.0,Shopping,Medium,2024-01-08 12:00:00,0
1181,62,Hyderabad,Current,815571.0,52018.0,711.0,26792.0,Utilities,High,2024-01-08 13:00:00,0
1182,64,Pune,Current,459047.0,,731.0,8067.0,Shopping,High,2024-01-08 14:00:00,0
1183,44,Hyderabad,Current,554769.0,66532.0,458.0,34638.0,Shopping,High,2024-01-08 15:00:00,0
1184,35,Mumbai,Current,645641.0,94641.0,313.0,27876.0,Travel,Low,2024-01-08 16:00:00,0
1185,52,Bangalore,Current,740338.0,74058.0,672.0,33797.0,Utilities,Low,2024-01-08 17:00:00,0
1186,52,Delhi,Savings,388699.0,80714.0,524.0,2287.0,Utilities,Low,2024-01-08 18:00:00,0
1187,44,Bangalore,Savings,437305.0,76395.0,804.0,28738.0,Travel,High,2024-01-08 19:00:00,0
1188,61,Pune,Current,691189.0,59998.0,372.0,10747.0,Utilities,Medium,2024-01-08 20:00:00,0
1189,32,Delhi,Savings,621509.0,81667.0,548.0,20232.0,Utilities,Low,2024-01-08 21:00:00,0
1190,59,Pune,Savings,661276.0,74901.0,810.0,31412.0,Utilities,Medium,2024-01-08 22:00:00,0
1191,22,Mumbai,Savings,294694.0,88789.0,515.0,26093.0,Travel,High,2024-01-08 23:00:00,0
1192,23,Delhi,Current,732200.0,50809.0,,14782.0,Utilities,Low,2024-01-09 00:00:00,0
1193,57,Pune,Savings,385789.0,25238.0,519.0,25075.0,Shopping,High,2024-01-09 01:00:00,0
1194,37,Mumbai,Current,528844.0,80905.0,520.0,6622.0,Shopping,Medium,2024-01-09 02:00:00,0
1195,22,Bangalore,Savings,477767.0,66995.0,688.0,38803.0,Utilities,Low,2024-01-09 03:00:00,0
1196,22,Mumbai,Current,368228.0,54079.0,341.0,22537.0,Travel,Low,2024-01-09 04:00:00,0
1197,48,Hyderabad,Savings,288120.0,55197.0,582.0,38423.0,Travel,Low,2024-01-09 05:00:00,0
1198,43,Mumbai,Current,238423.0,111094.0,357.0,18682.0,Travel,Low,2024-01-09 06:00:00,0
1199,57,Mumbai,Current,517853.0,47156.0,836.0,18717.0,Utilities,Medium,2024-01-09 07:00:00,0
1200,52,Hyderabad,Savings,271202.0,42934.0,372.0,15830.0,Utilities,Low,2024-01-09 08:00:00,0
1201,53,Pune,Current,329928.0,61706.0,428.0,35514.0,Shopping,High,2024-01-09 09:00:00,0
1202,21,Pune,Current,467295.0,83610.0,725.0,16487.0,Travel,Low,2024-01-09 10:00:00,0
1203,39,Mumbai,Current,104179.0,105568.0,424.0,32735.0,Shopping,Medium,2024-01-09 11:00:00,0
1204,22,Hyderabad,Current,616847.0,73147.0,,20411.0,Shopping,Low,2024-01-09 12:00:00,0
1205,64,Hyderabad,Current,138517.0,34592.0,305.0,1288.0,Travel,Medium,2024-01-09 13:00:00,0
1206,46,Bangalore,Current,488394.0,99417.0,613.0,18156.0,Utilities,Medium,2024-01-09 14:00:00,0
1207,52,Pune,Current,502253.0,59611.0,625.0,10851.0,Utilities,High,2024-01-09 15:00:00,0
1208,26,Delhi,Current,580709.0,,805.0,25407.0,Shopping,Low,2024-01-09 16:00:00,1
1209,52,Pune,Savings,493748.0,38412.0,381.0,10715.0,Shopping,Low,2024-01-09 17:00:00,1
1210,24,Pune,Savings,802686.0,,301.0,36112.0,Shopping,Low,2024-01-09 18:00:00,0
1211,31,Bangalore,Current,532448.0,64777.0,503.0,23907.0,Shopping,High,2024-01-09 19:00:00,0
1212,37,Delhi,Current,658042.0,66902.0,703.0,22869.0,Travel,High,2024-01-09 20:00:00,0
1213,58,Bangalore,Savings,391481.0,85730.0,402.0,32871.0,Shopping,Medium,2024-01-09 21:00:00,0
1214,44,Delhi,Savings,518114.0,43957.0,835.0,36567.0,Shopping,Medium,2024-01-09 22:00:00,0
1215,25,Mumbai,Savings,732136.0,87323.0,667.0,24759.0,Utilities,Medium,2024-01-09 23:00:00,1
1216,54,Delhi,Current,464346.0,49617.0,511.0,15746.0,Utilities,High,2024-01-10 00:00:00,0
1217,26,Bangalore,Savings,528835.0,103280.0,508.0,3712.0,Utilities,High,2024-01-10 01:00:00,0
1218,42,Pune,Current,647128.0,71975.0,416.0,16767.0,Travel,High,2024-01-10 02:00:00,0
1219,31,Delhi,Current,388666.0,41595.0,777.0,17593.0,Travel,Medium,2024-01-10 03:00:00,0
1220,36,Delhi,Savings,175766.0,19492.0,404.0,26285.0,Utilities,High,2024-01-10 04:00:00,1
1221,53,Hyderabad,Current,538336.0,76178.0,794.0,20858.0,Utilities,Medium,2024-01-10 05:00:00,0
1222,29,Pune,Current,648300.0,52516.0,345.0,33255.0,Shopping,Medium,2024-01-10 06:00:00,0
1223,26,Mumbai,Current,297283.0,56889.0,630.0,17644.0,Shopping,Low,2024-01-10 07:00:00,0
1224,36,Bangalore,Current,600533.0,75324.0,515.0,24316.0,Travel,Low,2024-01-10 08:00:00,0
1225,49,Mumbai,Savings,601545.0,80208.0,791.0,39208.0,Travel,Low,2024-01-10 09:00:00,0
1226,23,Pune,Savings,158976.0,84474.0,748.0,29102.0,Shopping,Medium,2024-01-10 10:00:00,0
1227,40,Delhi,Current,359557.0,36503.0,835.0,24280.0,Utilities,Low,2024-01-10 11:00:00,0
1228,56,Delhi,Current,440626.0,88518.0,810.0,17777.0,Shopping,Low,2024-01-10 12:00:00,0
1229,39,Pune,Savings,473056.0,48419.0,,17401.0,Travel,Low,2024-01-10 13:00:00,0
1230,46,Delhi,Current,388530.0,14875.0,846.0,14793.0,Travel,High,2024-01-10 14:00:00,0
1231,23,Delhi,Savings,380450.0,36431.0,835.0,18508.0,Shopping,Medium,2024-01-10 15:00:00,0
1232,39,Delhi,Current,750722.0,64361.0,,34068.0,Shopping,Low,2024-01-10 16:00:00,0
1233,40,Bangalore,Current,483866.0,40424.0,783.0,22337.0,Shopping,High,2024-01-10 17:00:00,1
1234,52,Bangalore,Savings,395743.0,58239.0,315.0,8803.0,Travel,High,2024-01-10 18:00:00,1
1235,27,Hyderabad,Savings,493825.0,66765.0,542.0,46218.0,Utilities,High,2024-01-10 19:00:00,0
1236,61,Mumbai,Savings,580564.0,56372.0,506.0,28840.0,Shopping,Low,2024-01-10 20:00:00,0
1237,53,Pune,Savings,507744.0,50113.0,570.0,8117.0,Travel,High,2024-01-10 21:00:00,0
1238,60,Pune,Current,469141.0,34986.0,414.0,19698.0,Travel,Medium,2024-01-10 22:00:00,0
1239,59,Pune,Savings,402497.0,60439.0,598.0,26331.0,Travel,High,2024-01-10 23:00:00,0
1240,38,Hyderabad,Current,400680.0,18701.0,782.0,45455.0,Shopping,High,2024-01-11 00:00:00,0
1241,60,Bangalore,Savings,410329.0,46280.0,696.0,11703.0,Shopping,High,2024-01-11 01:00:00,0
1242,21,Hyderabad,Savings,550822.0,41444.0,693.0,36712.0,Utilities,High,2024-01-11 02:00:00,0
1243,31,Pune,Current,350873.0,55212.0,374.0,41794.0,Travel,Medium,2024-01-11 03:00:00,0
1244,48,Mumbai,Savings,558990.0,55733.0,781.0,17456.0,Shopping,Low,2024-01-11 04:00:00,0
1245,45,Delhi,Savings,711949.0,79199.0,402.0,21670.0,Travel,Medium,2024-01-11 05:00:00,0
1246,43,Bangalore,Savings,548856.0,91670.0,596.0,12564.0,Travel,Medium,2024-01-11 06:00:00,0
1247,51,Bangalore,Savings,444562.0,37644.0,477.0,22558.0,Utilities,Low,2024-01-11 07:00:00,1
1248,50,Hyderabad,Current,,99857.0,514.0,24561.0,Shopping,High,2024-01-11 08:00:00,0
1249,62,Bangalore,Current,736716.0,44414.0,,32916.0,Shopping,Low,2024-01-11 09:00:00,1
1250,55,Pune,Savings,324497.0,63451.0,338.0,38082.0,Travel,Low,2024-01-11 10:00:00,0
